category,url,title,views,tags,title_clean,title_tokens,title_lemmas,named_entities
В мире,https://ria.ru/20250429/danija-2013976439.html,российских дипломатов не пригласили на памятные мероприятия в дании,830,"['В мире', 'Дания', 'Россия', 'Копенгаген']",российских дипломатов пригласили памятные мероприятия дании,"['российских', 'дипломатов', 'пригласили', 'памятные', 'мероприятия', 'дании']","['российский', 'дипломат', 'пригласить', 'памятный', 'мероприятие', 'дания']","[('дании', 'LOC')]"
В мире,https://ria.ru/20250429/impichment-2013974613.html,конгрессмен танедар представил резолюцию об импичменте трампу,15376,"['В мире', 'США', 'Дональд Трамп', 'Илон Маск']",конгрессмен танедар представил резолюцию импичменте трампу,"['конгрессмен', 'танедар', 'представил', 'резолюцию', 'импичменте', 'трампу']","['конгрессмен', 'танедар', 'представить', 'резолюция', 'импичмент', 'трамп']","[('трампу', 'PER')]"
В мире,https://ria.ru/20250429/indija-2013973678.html,сми: индия может закрыть воздушное пространство для пакистана,5515,"['В мире', 'Индия', 'Пакистан', 'Джамму']",сми индия закрыть воздушное пространство пакистана,"['сми', 'индия', 'закрыть', 'воздушное', 'пространство', 'пакистана']","['сми', 'индия', 'мочь', 'закрыть', 'воздушный', 'пространство', 'пакистан']","[('сми', 'ORG'), ('индия', 'LOC'), ('пакистана', 'LOC')]"
В мире,https://ria.ru/20250429/damask-2013973513.html,в пригороде дамаска произошли столкновения,1270,"['В мире', 'Война в Сирии', 'Дамаск (город)']",пригороде дамаска произошли столкновения,"['пригороде', 'дамаска', 'произошли', 'столкновения']","['пригород', 'дамаск', 'произойти', 'столкновение']","[('дамаска', 'LOC')]"
В мире,https://ria.ru/20250429/rumynija-2013972720.html,румыния подняла в воздух истребители из-за тревоги у границы с украиной,8052,"['В мире', 'Румыния', 'Украина', 'Италия', 'Марчел Чолаку', 'F-16']",румыния подняла воздух истребители тревоги границы украиной,"['румыния', 'подняла', 'воздух', 'истребители', 'тревоги', 'границы', 'украиной']","['румыния', 'поднять', 'воздух', 'истребитель', 'тревога', 'граница', 'украина']","[('румыния', 'LOC'), ('украиной', 'LOC')]"
В мире,https://ria.ru/20250429/ispanija-2013971939.html,в испании почти полностью восстановили электроснабжение,4545,"['В мире', 'Испания', 'Португалия', 'Франция', 'Антониу Кошта']",испании полностью восстановили электроснабжение,"['испании', 'полностью', 'восстановили', 'электроснабжение']","['испания', 'полностью', 'восстановить', 'электроснабжение']","[('испании', 'LOC')]"
В мире,https://ria.ru/20250429/ukraina-2013971577.html,"военный всу рассказал, что видел на украине много несправедливости",6794,"['В мире', 'Украина', 'Россия', 'Степан Бандера']",военный всу рассказал видел украине несправедливости,"['военный', 'всу', 'рассказал', 'видел', 'украине', 'несправедливости']","['военный', 'всу', 'рассказать', 'видеть', 'украина', 'несправедливость']","[('всу', 'ORG'), ('украине', 'LOC')]"
В мире,https://ria.ru/20250429/mask-2013971145.html,маск назвал падение рождаемости экзистенциальным кризисом,1383,"['В мире', 'Япония', 'США', 'Австралия', 'Илон Маск']",маск назвал падение рождаемости экзистенциальным кризисом,"['маск', 'назвал', 'падение', 'рождаемости', 'экзистенциальным', 'кризисом']","['маск', 'назвать', 'падение', 'рождаемость', 'экзистенциальный', 'кризис']","[('маск', 'PER')]"
В мире,https://ria.ru/20250429/vostok-2013860146.html,безопасность придет в европу с востока,14743,"['В мире', 'РИА Новости Аналитика', 'Аналитика', 'Россия', 'Европа']",безопасность придет европу востока,"['безопасность', 'придет', 'европу', 'востока']","['безопасность', 'прийти', 'европа', 'восток']","[('европу', 'LOC')]"
В мире,https://ria.ru/20250429/abrams-2013480443.html,"""радикальный выход"": новое американское оружие угрожает самим сша",10791,"['В мире', 'США', 'Министерство обороны США']",радикальный выход новое американское оружие угрожает самим сша,"['радикальный', 'выход', 'новое', 'американское', 'оружие', 'угрожает', 'самим', 'сша']","['радикальный', 'выход', 'новый', 'американский', 'оружие', 'угрожать', 'самим', 'сша']","[('сша', 'LOC')]"
